id,created_at,variant_id,path,bot_name,user_agent,method,status,latency_ms,meta
37,2026-03-31 12:57:57.416931+00,control,/control,Gemini,Gemini-Deep-Research,HEAD,200,2,{}
38,2026-03-31 12:57:57.719884+00,control,/control,Gemini,Google-NotebookLM,HEAD,200,1,{}
39,2026-03-31 12:57:58.030041+00,control,/control,Gemini,NotebookLM,HEAD,200,1,{}
40,2026-03-31 12:57:58.331242+00,control,/control,Gemini,GoogleAgent-Mariner,HEAD,200,2,{}
41,2026-03-31 12:57:58.676423+00,control,/control,Perplexity,PerplexityBot,HEAD,200,2,{}
42,2026-03-31 12:57:58.978693+00,control,/control,Perplexity,Perplexity-User,HEAD,200,2,{}
43,2026-03-31 12:57:59.290967+00,control,/control,CommonCrawl,CCBot,HEAD,200,1,{}
44,2026-03-31 12:57:59.584155+00,control,/control,Applebot,Applebot,HEAD,200,1,{}
45,2026-03-31 12:57:59.909182+00,control,/control,Applebot,Applebot-Extended,HEAD,200,2,{}
46,2026-03-31 12:58:00.201496+00,control,/control,Meta,meta-externalagent,HEAD,200,1,{}
47,2026-03-31 12:58:00.502751+00,control,/control,Meta,Meta-ExternalAgent,HEAD,200,1,{}
48,2026-03-31 12:58:00.802647+00,control,/control,Meta,meta-externalfetcher,HEAD,200,1,{}
49,2026-03-31 12:58:01.10026+00,control,/control,Meta,meta-webindexer,HEAD,200,1,{}
50,2026-03-31 12:58:01.384461+00,control,/control,DeepSeek,DeepSeekBot,HEAD,200,1,{}
51,2026-03-31 12:58:01.680844+00,control,/control,Mistral,MistralAI-User,HEAD,200,1,{}
52,2026-03-31 12:58:01.983504+00,control,/control,DuckDuckGo,DuckAssistBot,HEAD,200,2,{}
53,2026-03-31 12:58:02.284257+00,control,/control,Brave,Bravebot,HEAD,200,1,{}
54,2026-03-31 12:58:02.635421+00,control,/control,You,YouBot,HEAD,200,1,{}
55,2026-03-31 12:58:02.944649+00,control,/control,Cohere,cohere-ai,HEAD,200,1,{}
56,2026-03-31 12:58:03.258492+00,control,/control,ByteDance,Bytespider,HEAD,200,2,{}
57,2026-03-31 12:58:03.559831+00,control,/control,ByteDance,TikTokSpider,HEAD,200,1,{}
58,2026-03-31 12:58:03.87296+00,control,/control,Manus,Manus-User,HEAD,200,1,{}
59,2026-03-31 12:58:04.195663+00,control,/control,Amazon,Amazonbot,HEAD,200,2,{}
60,2026-03-31 12:58:04.689656+00,jsonld,/test-jsonld,ChatGPT,GPTBot,HEAD,200,2,{}
61,2026-03-31 12:58:05.007872+00,jsonld,/test-jsonld,ChatGPT,ChatGPT-User,HEAD,200,1,{}
62,2026-03-31 12:58:05.312484+00,jsonld,/test-jsonld,ChatGPT,OAI-SearchBot,HEAD,200,1,{}
63,2026-03-31 12:58:05.614618+00,jsonld,/test-jsonld,ChatGPT,ChatGPT Agent,HEAD,200,3,{}
64,2026-03-31 12:58:05.94699+00,jsonld,/test-jsonld,Claude,ClaudeBot,HEAD,200,2,{}
65,2026-03-31 12:58:06.249086+00,jsonld,/test-jsonld,Claude,Claude-Web,HEAD,200,2,{}
66,2026-03-31 12:58:06.555318+00,jsonld,/test-jsonld,Claude,Claude-User,HEAD,200,1,{}
67,2026-03-31 12:58:06.853652+00,jsonld,/test-jsonld,Claude,Claude-SearchBot,HEAD,200,1,{}
68,2026-03-31 12:58:07.159769+00,jsonld,/test-jsonld,Claude,anthropic-ai,HEAD,200,1,{}
69,2026-03-31 12:58:07.452919+00,jsonld,/test-jsonld,Gemini,Google-Extended,HEAD,200,1,{}
70,2026-03-31 12:58:07.767584+00,jsonld,/test-jsonld,Gemini,Gemini-Deep-Research,HEAD,200,1,{}
71,2026-03-31 12:58:08.06903+00,jsonld,/test-jsonld,Gemini,Google-NotebookLM,HEAD,200,0,{}
72,2026-03-31 12:58:08.366917+00,jsonld,/test-jsonld,Gemini,NotebookLM,HEAD,200,1,{}
73,2026-03-31 12:58:08.662922+00,jsonld,/test-jsonld,Gemini,GoogleAgent-Mariner,HEAD,200,3,{}
74,2026-03-31 12:58:08.968588+00,jsonld,/test-jsonld,Perplexity,PerplexityBot,HEAD,200,2,{}
75,2026-03-31 12:58:09.254329+00,jsonld,/test-jsonld,Perplexity,Perplexity-User,HEAD,200,1,{}
